training_iter	round	epsilon	score	avg_loss_per_step	killed_self	avg_reward_per_step	invalid_actions_per_round	avg_invalid_actions_per_step	steps_survived
735259	9221	 0.0500	0	 0.0032	True	-0.0422	37	 0.4458	83
735387	9222	 0.0500	0	 0.0032	True	-0.0248	27	 0.2109	128
735556	9223	 0.0500	0	 0.0034	True	-0.0209	40	 0.2367	169
735597	9224	 0.0500	0	 0.0030	True	-0.0604	21	 0.5122	41
735735	9225	 0.0500	0	 0.0033	True	-0.0271	36	 0.2609	138
735780	9226	 0.0500	0	 0.0031	True	-0.0631	28	 0.6222	45
735918	9227	 0.0500	0	 0.0031	True	-0.0313	56	 0.4058	138
735935	9228	 0.0500	0	 0.0027	True	-0.0906	4	 0.2353	17
736031	9229	 0.0500	0	 0.0034	True	-0.0388	36	 0.3750	96
736115	9230	 0.0500	0	 0.0038	True	-0.0288	20	 0.2381	84
736196	9231	 0.0500	0	 0.0034	True	-0.0516	58	 0.7160	81
736289	9232	 0.0500	0	 0.0031	True	-0.0367	36	 0.3871	93
736303	9233	 0.0500	0	 0.0037	True	-0.1100	3	 0.2143	14
736425	9234	 0.0500	0	 0.0038	True	-0.0369	53	 0.4344	122
736582	9235	 0.0500	0	 0.0033	True	-0.0392	75	 0.4777	157
736751	9236	 0.0500	1	 0.0035	True	-0.0321	72	 0.4260	169
736963	9237	 0.0500	0	 0.0037	True	-0.0242	63	 0.2972	212
736996	9238	 0.0500	0	 0.0031	True	-0.0485	5	 0.1515	33
737004	9239	 0.0500	0	 0.0047	True	-0.1900	0	 0.0000	8
737110	9240	 0.0500	0	 0.0034	True	-0.0340	41	 0.3868	106
737248	9241	 0.0500	0	 0.0035	True	-0.0431	77	 0.5580	138
737367	9242	 0.0500	0	 0.0029	True	-0.0288	39	 0.3277	119
737373	9243	 0.0500	0	 0.0026	True	-0.2500	4	 0.6667	6
737591	9244	 0.0500	2	 0.0029	True	-0.0302	83	 0.3807	218
737689	9245	 0.0500	0	 0.0035	True	-0.0320	30	 0.3061	98
737696	9246	 0.0500	0	 0.0043	True	-0.2129	3	 0.4286	7
737729	9247	 0.0500	0	 0.0034	True	-0.0748	13	 0.3939	33
737760	9248	 0.0500	0	 0.0040	True	-0.0658	8	 0.2581	31
737811	9249	 0.0500	0	 0.0035	True	-0.0365	12	 0.2353	51
737860	9250	 0.0500	0	 0.0030	True	-0.0512	15	 0.3061	49
737924	9251	 0.0500	0	 0.0027	True	-0.0497	27	 0.4219	64
738054	9252	 0.0500	0	 0.0037	True	-0.0352	51	 0.3923	130
738311	9253	 0.0500	0	 0.0032	True	-0.0224	74	 0.2879	257
738370	9254	 0.0500	0	 0.0030	True	-0.0456	29	 0.4915	59
738439	9255	 0.0500	0	 0.0033	True	-0.0535	35	 0.5072	69
738454	9256	 0.0500	0	 0.0026	True	-0.1200	6	 0.4000	15
738539	9257	 0.0500	0	 0.0034	True	-0.0478	50	 0.5882	85
738733	9258	 0.0500	0	 0.0028	True	-0.0415	127	 0.6546	194
738810	9259	 0.0500	0	 0.0034	True	-0.0517	49	 0.6364	77
738861	9260	 0.0500	0	 0.0030	True	-0.0529	17	 0.3333	51
738878	9261	 0.0500	0	 0.0032	True	-0.1059	11	 0.6471	17
739004	9262	 0.0500	0	 0.0030	True	-0.0324	52	 0.4127	126
739046	9263	 0.0500	0	 0.0031	True	-0.0641	26	 0.6190	42
739092	9264	 0.0500	0	 0.0040	True	-0.0620	29	 0.6304	46
739124	9265	 0.0500	0	 0.0035	True	-0.0752	23	 0.7188	32
739190	9266	 0.0500	0	 0.0030	True	-0.0526	37	 0.5606	66
739220	9267	 0.0500	0	 0.0031	True	-0.0817	23	 0.7667	30
739241	9268	 0.0500	0	 0.0029	True	-0.0900	11	 0.5238	21
739251	9269	 0.0500	0	 0.0041	True	-0.1480	3	 0.3000	10
739346	9270	 0.0500	1	 0.0030	True	-0.0350	30	 0.3158	95
739477	9271	 0.0500	0	 0.0028	True	-0.0334	65	 0.4962	131
739489	9272	 0.0500	0	 0.0027	True	-0.1275	6	 0.5000	12
739574	9273	 0.0500	0	 0.0031	True	-0.0460	38	 0.4471	85
739687	9274	 0.0500	1	 0.0033	True	-0.0436	70	 0.6195	113
739716	9275	 0.0500	0	 0.0034	True	-0.0576	13	 0.4483	29
739773	9276	 0.0500	0	 0.0038	True	-0.0477	29	 0.5088	57
739782	9277	 0.0500	0	 0.0030	True	-0.1744	4	 0.4444	9
739813	9278	 0.0500	0	 0.0036	True	-0.0716	18	 0.5806	31
739867	9279	 0.0500	0	 0.0032	True	-0.0396	16	 0.2963	54
739951	9280	 0.0500	0	 0.0035	True	-0.0417	48	 0.5714	84
740022	9281	 0.0500	0	 0.0033	True	-0.0493	46	 0.6479	71
740134	9282	 0.0500	0	 0.0033	True	-0.0419	69	 0.6161	112
740220	9283	 0.0500	0	 0.0030	True	-0.0341	37	 0.4302	86
740297	9284	 0.0500	0	 0.0035	True	-0.0522	50	 0.6494	77
740367	9285	 0.0500	0	 0.0027	True	-0.0272	14	 0.2000	70
740395	9286	 0.0500	0	 0.0039	True	-0.0579	10	 0.3571	28
740417	9287	 0.0500	0	 0.0031	True	-0.0909	15	 0.6818	22
740442	9288	 0.0500	0	 0.0033	True	-0.0948	21	 0.8400	25
740460	9289	 0.0500	0	 0.0046	True	-0.0955	7	 0.3889	18
740575	9290	 0.0500	1	 0.0031	True	-0.0326	55	 0.4783	115
740685	9291	 0.0500	0	 0.0028	True	-0.0394	42	 0.3818	110
740706	9292	 0.0500	0	 0.0036	True	-0.0823	7	 0.3333	21
740923	9293	 0.0500	0	 0.0031	True	-0.0257	47	 0.2166	217
741081	9294	 0.0500	0	 0.0031	True	-0.0327	68	 0.4304	158
741214	9295	 0.0500	0	 0.0030	True	-0.0373	46	 0.3459	133
